artist,artist_id,genres,followers.total,images.url
Afro Kolektyw,1PHz9tBsAlizVFqzFVSmlk,polish reggae,2276,https://i.scdn.co/image/ab67616d0000b273c7a1c90007e6aaf2a515102e
Afront,4BnvoIMvhLok27tzSxl4Yq,polish alternative rap,1037,https://i.scdn.co/image/ab67616d0000b273d758f46100a0802485d04034
Bedoes,0LX2VNf5w4iOHW1yyIqb74,polish hip hop; polish trap,724532,https://i.scdn.co/image/f55c02a6ec8aa2568cc44d800cc00ad9cb8f0416
Białas,2ufQfSFDFXfMS7MEMzdGZE,polish hip hop; polish trap,204176,https://i.scdn.co/image/69fb386f12186781fc8533d04c70159e19f9eb85
Borixon,5Q5WdRs96HgbxdVIfhHqt2,polish hip hop; polish trap,61568,https://i.scdn.co/image/a028b5b97e00349b34c42f5b786bc0ad56e70c05
Donguralesko,7kaEEK2cQh07aEfEEBd4Hn,polish alternative rap; polish hip hop,94934,https://i.scdn.co/image/755e7fac07332d565710706e4a9e07f517427ce5
Dwa Sławy,1CEONobXawu0XPgPhgTD5a,polish hip hop,51246,https://i.scdn.co/image/93eeff131417f4b79db572392edb4a639e7c9f8d
Eldo,5nuF8QjV4BtabUeBaXzzwK,polish alternative rap,5033,https://i.scdn.co/image/ac49318ae8c340b4aae61dac6f7f957443b658dc
Ero,54DALKUBHXwXee6LLqGWsS,polish alternative rap,5942,https://i.scdn.co/image/0fcbd6a7dd25e5bba2d208492fd79a1a48cdd5d1
Fisz Emade Tworzywo,0YYxsW13yGiA2e80fu4VIA,polish alternative; polish pop,68875,https://i.scdn.co/image/45eaa952b02310c67b3b40a8c407ee9b0e59b909
Fokus,2h2nL9Hk4GQNcFm7fYV5ck,polish hip hop,43274,https://i.scdn.co/image/67f8e947a5dacced9dd661457fb1db561f5bf99b
Grammatik,3FG9apUVqIpXjhA9soXhgf,polish alternative rap; polish hip hop,34865,https://i.scdn.co/image/ab67616d0000b273995d5c4258efb1c5f2ac36b0
Grubson,7ChbI909duz2evHDqsYsSa,polish hip hop; polish reggae,70968,https://i.scdn.co/image/049493b39751225acaf9c4705c82bce2394fdecf
Guzior,7uWyXPJ04ihdQdYGGw3xVV,polish hip hop; polish trap,162386,https://i.scdn.co/image/ab67616d0000b2732df3977371a9e8916c3d6491
Hemp Gru,5xT1vs5QIozPsaUdUC5UjC,polish hip hop,90831,https://i.scdn.co/image/ab67616d0000b273f7b72cc107625c9c8c7bd5f4
HIFI Banda,4XDpJZEtbNEjNPRCQEWFJS,polish alternative rap; polish hip hop,21902,https://i.scdn.co/image/ab67616d0000b2736958d32ac9509f6a6c5f6233
Jan-Rapowanie,43yekIowVCHkR6TGGg9gSp,polish hip hop,128994,https://i.scdn.co/image/61582524d6503f8afa9f0bf5b65e41366fb17d85
Kaliber 44,2UTeT9IOjc4x9MeQWA0Hrx,polish hip hop,52606,https://i.scdn.co/image/ab67616d0000b273251a1809fe45434405c87239
Kaz Bałagane,2GzZAv52VCMdVli7QzkteT,polish hip hop; polish trap,75728,https://i.scdn.co/image/ab67616d0000b2734add2131c746f2b6ddf4bc40
KęKę,11ohMXkA2KIq5F1DoWH2jj,polish hip hop; south african gospel,260811,https://i.scdn.co/image/c947f767501fb00844f63dfb4aaef3d953006955
Kuba Knap,5Ucwb48hBmaTemwO30vVXa,polish alternative rap; polish hip hop,18181,https://i.scdn.co/image/d86f85856289f328c1ec077452aac3141e8b72aa
Kuban,2RIWb22QZmud0Ik6Ad7dS1,polish alternative rap; polish hip hop,93653,https://i.scdn.co/image/ab67616d0000b27375c9254f7f01e356748cf38a
Liroy,1YNJc03EgclUK2rnLX7tE5,polish hip hop,6601,https://i.scdn.co/image/ab67616d0000b273879a893d58332d032d18b86f
Łona I Webber,6DMuRVdgTNmZCYRlekKWvO,polish alternative rap; polish hip hop,49503,https://i.scdn.co/image/cfc27a70b628c6ae34c2c6c7d86ad0991f5b04ab
Malik Montana,1Kjs5u8GQf6zCFdTj6SI9E,polish hip hop; polish trap,404764,https://i.scdn.co/image/2dd3864a940d3350b06d185b814b04e06458c43f
Małpa,4Oy0tTQfhCKKaBPkQJhZHK,polish alternative rap; polish hip hop,67415,https://i.scdn.co/image/ab67616d0000b27326c784036478263a0367274d
Miły ATZ,1PKW5LFWjU0jJGK2dYS1IE,polish alternative rap; polish hip hop,3768,https://i.scdn.co/image/7d2b4f774a13607f669f9a6e2f38c8a42f961f33
