artist,dataset,words,in_dict,share_in_dict,total_unique_words,ded_unique_words_lower_bound,ded_unique_words_upper_bound,ded_unique_words_mean
Afro Kolektyw,first_5k,5000,4696,0.9392,2180,1657,1902,1779.5
Afro Kolektyw,first_10k,10000,9457,0.9457,4036,2909,3371,3140
Afro Kolektyw,first_15k,15000,14317,0.954466666666667,5485,3829,4432,4130.5
Afro Kolektyw,full,15455,14761,0.95509543836946,5618,3919,4534,4226.5
Afront,full,2456,2389,0.97271986970684,1308,1059,1208,1133.5
Bedoes,first_5k,5000,4666,0.9332,1543,1129,1339,1234
Bedoes,first_10k,10000,9212,0.9212,2714,1857,2203,2030
Bedoes,first_15k,15000,13928,0.928533333333333,3573,2352,2797,2574.5
Bedoes,full,19615,17804,0.907672699464695,4317,2857,3372,3114.5
Borixon,first_5k,5000,4756,0.9512,1634,1173,1402,1287.5
Borixon,first_10k,10000,9507,0.9507,2880,1982,2362,2172
Borixon,first_15k,15000,14197,0.946466666666667,3920,2638,3141,2889.5
Borixon,full,19921,18695,0.938456904773857,4889,3251,3856,3553.5
Donguralesko,first_5k,5000,4759,0.9518,1982,1506,1769,1637.5
Donguralesko,first_10k,10000,9352,0.9352,4016,3053,3475,3264
Donguralesko,first_15k,15000,14156,0.943733333333333,5444,3998,4591,4294.5
Donguralesko,full,18274,17220,0.94232242530371,6340,4575,5263,4919
Dwa Sławy,first_5k,5000,4622,0.9244,2221,1772,1987,1879.5
Dwa Sławy,first_10k,10000,9266,0.9266,3796,2841,3244,3042.5
Dwa Sławy,first_15k,15000,14002,0.933466666666667,5075,3634,4169,3901.5
Dwa Sławy,full,17209,16038,0.931954210006392,5633,4009,4590,4299.5
Eldo,first_5k,5000,4784,0.9568,2215,1585,1848,1716.5
Eldo,first_10k,10000,9626,0.9626,3726,2546,2988,2767
Eldo,first_15k,15000,14489,0.965933333333333,5138,3366,3962,3664
Eldo,first_20k,20000,19279,0.96395,6413,4054,4761,4407.5
Eldo,full,21817,21038,0.964293899252876,6818,4263,5016,4639.5
Fokus,first_5k,5000,4834,0.9668,1743,1325,1535,1430
Fokus,full,7411,7088,0.956416138172986,2275,1698,1968,1833
Grammatik,first_5k,5000,4834,0.9668,2081,1442,1705,1573.5
Grammatik,first_10k,10000,9670,0.967,3474,2246,2668,2457
Grammatik,full,13705,13234,0.965632980663991,4445,2804,3326,3065
Grubson,first_5k,5000,4671,0.9342,1952,1428,1687,1557.5
Grubson,first_10k,10000,9225,0.9225,3385,2388,2817,2602.5
Grubson,full,11013,10078,0.915100335966585,3630,2557,3017,2787
Hemp Gru,first_5k,5000,4742,0.9484,2289,1659,1939,1799
Hemp Gru,first_10k,10000,9507,0.9507,3905,2631,3101,2866
Hemp Gru,first_15k,15000,14269,0.951266666666667,5174,3347,3958,3652.5
Hemp Gru,first_20k,20000,19024,0.9512,6373,4059,4784,4421.5
Hemp Gru,full,22065,20942,0.949104917289825,6800,4283,5056,4669.5
Jan-Rapowanie,first_5k,5000,4685,0.937,1635,1186,1427,1306.5
Jan-Rapowanie,first_10k,10000,9414,0.9414,2769,1891,2248,2069.5
Jan-Rapowanie,full,12471,11780,0.944591452169032,3293,2190,2612,2401
Kaliber 44,first_5k,5000,4820,0.964,1612,1211,1430,1320.5
Kaliber 44,first_10k,10000,9601,0.9601,3032,2182,2584,2383
Kaliber 44,full,14884,14256,0.957807041117979,4356,3045,3584,3314.5
Kękę,first_5k,5000,4546,0.9092,2030,1499,1770,1634.5
Kękę,first_10k,10000,9301,0.9301,3270,2268,2675,2471.5
Kękę,first_15k,15000,14045,0.936333333333333,4161,2808,3306,3057
Kękę,first_20k,20000,18838,0.9419,4957,3275,3859,3567
Kękę,full,21609,20383,0.943264380582165,5195,3410,4012,3711
Kuba Knap,first_5k,5000,4660,0.932,2158,1653,1904,1778.5
Kuba Knap,first_10k,10000,9309,0.9309,3873,2823,3257,3040
Kuba Knap,first_15k,15000,14033,0.935533333333333,5398,3811,4399,4105
Kuba Knap,first_20k,20000,18660,0.933,6745,4655,5352,5003.5
Kuba Knap,full,22635,21195,0.936381709741551,7462,5069,5844,5456.5
Łona i Webber,first_5k,5000,4779,0.9558,2050,1506,1755,1630.5
Łona i Webber,first_10k,10000,9656,0.9656,3693,2601,3004,2802.5
Łona i Webber,first_15k,15000,14496,0.9664,4987,3438,3979,3708.5
Łona i Webber,first_20k,20000,19332,0.9666,6088,4088,4755,4421.5
Łona i Webber,first_25k,25000,24207,0.96828,7124,4702,5462,5082
Łona i Webber,full,26892,25986,0.966309683177153,7567,5001,5795,5398
Małpa,first_5k,5000,4698,0.9396,2135,1589,1836,1712.5
Małpa,first_10k,10000,9527,0.9527,3657,2511,2954,2732.5
Małpa,full,12896,12321,0.95541253101737,4268,2872,3382,3127
O.S.T.R.,first_5k,5000,4850,0.97,2341,1770,2040,1905
O.S.T.R.,first_10k,10000,9718,0.9718,3831,2659,3100,2879.5
O.S.T.R.,first_15k,15000,14499,0.9666,5267,3537,4161,3849
O.S.T.R.,first_20k,20000,19157,0.95785,6545,4380,5107,4743.5
O.S.T.R.,first_25k,25000,23862,0.95448,7784,5164,5994,5579
O.S.T.R.,first_30k,30000,28646,0.954866666666667,8943,5822,6754,6288
O.S.T.R.,full,109647,103294,0.942059518272274,20953,11856,13652,12754
Onar,first_5k,5000,4825,0.965,1887,1336,1592,1464
Onar,first_10k,10000,9637,0.9637,3383,2215,2638,2426.5
Onar,first_15k,15000,13992,0.9328,4710,3126,3653,3389.5
Onar,first_20k,20000,18825,0.94125,5744,3713,4358,4035.5
Onar,full,22917,21505,0.938386350743989,6315,4063,4762,4412.5
Otsochodzi,first_5k,5000,4670,0.934,1764,1296,1523,1409.5
Otsochodzi,first_10k,10000,9353,0.9353,2657,1903,2234,2068.5
Otsochodzi,full,13849,12820,0.925698606397574,3219,2257,2644,2450.5
Paktofonika,first_5k,5000,4810,0.962,2001,1540,1769,1654.5
Paktofonika,first_10k,10000,9210,0.921,3751,2797,3233,3015
Paktofonika,full,12249,11299,0.922442648379459,4396,3209,3703,3456
Paluch,first_5k,5000,4808,0.9616,2099,1492,1747,1619.5
Paluch,first_10k,10000,9602,0.9602,3584,2400,2820,2610
Paluch,first_15k,15000,14417,0.961133333333333,4836,3125,3711,3418
Paluch,first_20k,20000,19202,0.9601,6073,3809,4533,4171
Paluch,first_25k,25000,23982,0.95928,6973,4284,5113,4698.5
Paluch,first_30k,30000,28749,0.9583,7862,4762,5681,5221.5
Paluch,full,35078,33615,0.95829294714636,8666,5209,6204,5706.5
Peja,first_5k,5000,4794,0.9588,2324,1701,1965,1833
Peja,first_10k,10000,9577,0.9577,3991,2800,3248,3024
Peja,first_15k,15000,14349,0.9566,5580,3757,4363,4060
Peja,first_20k,20000,19194,0.9597,6870,4475,5180,4827.5
Peja,first_25k,25000,23676,0.94704,8201,5309,6109,5709
Peja,first_30k,30000,28087,0.936233333333333,9602,6210,7117,6663.5
Peja,full,79361,74904,0.943838913320145,17472,10202,11794,10998
Pezet,first_5k,5000,4801,0.9602,2006,1498,1745,1621.5
Pezet,first_10k,10000,9628,0.9628,3245,2231,2625,2428
Pezet,first_15k,15000,14395,0.959666666666667,4369,2867,3390,3128.5
Pezet,first_20k,20000,19061,0.95305,5398,3466,4080,3773
Pezet,first_25k,25000,23812,0.95248,6324,4014,4719,4366.5
Pezet,full,27146,25822,0.951226700066308,6747,4258,5000,4629
PIH,first_5k,5000,4882,0.9764,2559,1884,2158,2021
PIH,first_10k,10000,9768,0.9768,4241,2911,3376,3143.5
PIH,first_15k,15000,14647,0.976466666666667,5868,3876,4532,4204
PIH,first_20k,20000,19510,0.9755,7194,4599,5394,4996.5
PIH,first_25k,25000,24325,0.973,8546,5349,6282,5815.5
PIH,first_30k,30000,29102,0.970066666666667,9869,6113,7145,6629
PIH,full,39909,38776,0.971610413691147,11752,7015,8223,7619
Płomień 81,first_5k,5000,4875,0.975,1764,1229,1442,1335.5
Płomień 81,first_10k,10000,9736,0.9736,3220,2138,2544,2341
Płomień 81,first_15k,15000,14488,0.965866666666667,4404,2852,3403,3127.5
Płomień 81,full,16172,15609,0.965186742517932,4550,2931,3503,3217
Pokahontaz,first_5k,5000,4752,0.9504,2074,1614,1871,1742.5
Pokahontaz,first_10k,10000,9435,0.9435,3841,2825,3267,3046
Pokahontaz,first_15k,15000,14184,0.9456,5281,3715,4312,4013.5
Pokahontaz,first_20k,20000,18866,0.9433,6679,4548,5317,4932.5
Pokahontaz,full,22527,21291,0.945132507657478,7356,4963,5817,5390
PRO8L3M,first_5k,5000,4789,0.9578,2401,1791,2073,1932
PRO8L3M,first_10k,10000,9303,0.9303,3997,2916,3373,3144.5
PRO8L3M,first_15k,15000,14047,0.936466666666667,5386,3759,4351,4055
PRO8L3M,full,19609,18344,0.935488806160437,6636,4502,5196,4849
Quebonafide,first_5k,5000,4451,0.8902,2111,1668,1888,1778
Quebonafide,first_10k,10000,8995,0.8995,3534,2656,3048,2852
Quebonafide,first_15k,15000,13466,0.897733333333333,4766,3528,4038,3783
Quebonafide,first_20k,20000,17983,0.89915,5830,4243,4831,4537
Quebonafide,first_25k,25000,22544,0.90176,6762,4817,5485,5151
Quebonafide,full,27377,24594,0.89834532636885,7275,5164,5866,5515
Rahim,first_5k,5000,4811,0.9622,2090,1696,1939,1817.5
Rahim,first_10k,10000,9566,0.9566,3821,2891,3357,3124
Rahim,full,10831,10346,0.955221124549903,4088,3070,3556,3313
Rasmentalism,first_5k,5000,4748,0.9496,2196,1566,1841,1703.5
Rasmentalism,first_10k,10000,9514,0.9514,3543,2392,2826,2609
Rasmentalism,full,13660,12984,0.950512445095168,4398,2919,3436,3177.5
Słoń,first_5k,5000,4797,0.9594,2623,1968,2232,2100
Słoń,first_10k,10000,9527,0.9527,4575,3237,3708,3472.5
Słoń,first_15k,15000,14282,0.952133333333333,6221,4230,4859,4544.5
Słoń,first_20k,20000,19057,0.95285,7787,5119,5910,5514.5
Słoń,first_25k,25000,23851,0.95404,9132,5815,6761,6288
Słoń,first_30k,30000,28449,0.9483,10514,6657,7712,7184.5
Słoń,full,32990,30186,0.915004546832373,11198,7247,8334,7790.5
Sokół,first_5k,5000,4248,0.8496,2240,1837,2056,1946.5
Sokół,first_10k,10000,9095,0.9095,3674,2751,3148,2949.5
Sokół,first_15k,15000,13965,0.931,5015,3547,4115,3831
Sokół,first_20k,20000,18824,0.9412,6312,4297,5001,4649
Sokół,first_25k,25000,23612,0.94448,7534,4960,5795,5377.5
Sokół,full,29537,27900,0.944577986931645,8688,5619,6547,6083
Taco Hemingway,first_5k,5000,4855,0.971,2052,1556,1803,1679.5
Taco Hemingway,first_10k,10000,9637,0.9637,3548,2549,2961,2755
Taco Hemingway,first_15k,15000,14441,0.962733333333333,4941,3441,4010,3725.5
Taco Hemingway,first_20k,20000,18953,0.94765,6049,4166,4828,4497
Taco Hemingway,first_25k,25000,23547,0.94188,6979,4721,5479,5100
Taco Hemingway,first_30k,30000,27924,0.9308,7914,5318,6158,5738
Taco Hemingway,full,34797,32236,0.926401701296089,8889,5916,6835,6375.5
Te-Tris,first_5k,5000,4772,0.9544,2195,1672,1938,1805
Te-Tris,full,8268,7815,0.945210449927431,3193,2358,2740,2549
TEDE,first_5k,5000,4712,0.9424,1948,1414,1652,1533
TEDE,first_10k,10000,9352,0.9352,3334,2296,2707,2501.5
TEDE,first_15k,15000,13921,0.928066666666667,4603,3145,3657,3401
TEDE,first_20k,20000,18526,0.9263,5779,3911,4521,4216
TEDE,first_25k,25000,23231,0.92924,6870,4576,5302,4939
TEDE,first_30k,30000,27650,0.921666666666667,8096,5383,6193,5788
TEDE,full,97024,88804,0.915278693931398,17581,10700,12148,11424
Ten Typ Mes,first_5k,5000,4776,0.9552,2315,1774,2041,1907.5
Ten Typ Mes,first_10k,10000,9558,0.9558,4110,2991,3419,3205
Ten Typ Mes,first_15k,15000,14325,0.955,5605,3912,4467,4189.5
Ten Typ Mes,first_20k,20000,19083,0.95415,6972,4725,5417,5071
Ten Typ Mes,first_25k,25000,23756,0.95024,8503,5665,6461,6063
Ten Typ Mes,first_30k,30000,28427,0.947566666666667,9830,6459,7349,6904
Ten Typ Mes,full,46021,43415,0.943373677234306,13201,8369,9524,8946.5
Trzeci Wymiar,first_5k,5000,4796,0.9592,2257,1656,1927,1791.5
Trzeci Wymiar,first_10k,10000,9554,0.9554,4056,2816,3300,3058
Trzeci Wymiar,full,14703,13910,0.946065428824049,5934,4092,4748,4420
TUZZA Globale,first_5k,5000,4462,0.8924,1634,1233,1464,1348.5
TUZZA Globale,first_10k,10000,8838,0.8838,2747,2037,2387,2212
TUZZA Globale,full,11700,10311,0.881282051282051,3103,2288,2686,2487
Tymek,first_5k,5000,4779,0.9558,1710,1268,1524,1396
Tymek,first_10k,10000,9532,0.9532,2637,1860,2225,2042.5
Tymek,first_15k,15000,14000,0.933333333333333,3527,2492,2954,2723
Tymek,first_20k,20000,18652,0.9326,4390,2987,3549,3268
Tymek,full,20816,19442,0.933993082244427,4493,3047,3620,3333.5
VNM,first_5k,5000,4539,0.9078,2139,1587,1851,1719
VNM,first_10k,10000,9252,0.9252,3444,2444,2849,2646.5
VNM,first_15k,15000,13894,0.926266666666667,4667,3200,3720,3460
VNM,first_20k,20000,18574,0.9287,5905,3954,4572,4263
VNM,first_25k,25000,23080,0.9232,6875,4583,5275,4929
VNM,first_30k,30000,27783,0.9261,7663,5045,5800,5422.5
VNM,full,30617,28363,0.926380768853905,7781,5109,5874,5491.5
W.E.N.A.,first_5k,5000,4716,0.9432,2101,1492,1756,1624
W.E.N.A.,first_10k,10000,9497,0.9497,3447,2263,2677,2470
W.E.N.A.,full,14616,13915,0.95203886152162,4440,2882,3381,3131.5
WWO,first_5k,5000,4838,0.9676,2208,1587,1851,1719
WWO,first_10k,10000,9449,0.9449,3890,2691,3145,2918
WWO,first_15k,15000,13983,0.9322,5437,3692,4295,3993.5
WWO,full,18348,17005,0.926804011336385,6500,4375,5061,4718
Zeus,first_5k,5000,4810,0.962,2040,1476,1731,1603.5
Zeus,first_10k,10000,9606,0.9606,3491,2372,2787,2579.5
Zeus,first_15k,15000,14348,0.956533333333333,4575,3000,3538,3269
Zeus,first_20k,20000,19143,0.95715,5590,3556,4208,3882
Zeus,first_25k,25000,23877,0.95508,6790,4244,5029,4636.5
Zeus,full,28190,26931,0.955338772614402,7505,4658,5512,5085
