artist,N_songs,N_songs_wL,N_words,N_words_per_s,Avg_in_dict,Avg_in_NAWL,Avg_vulg,Avg_max_N_Anger,Avg_max_N_Fear,Avg_max_N_Happiness,Avg_max_N_Sadness,Avg_max_N_Disgust,Avg_max_N_Neutral,Avg_min_N_Anger,Avg_min_N_Fear,Avg_min_N_Happiness,Avg_min_N_Sadness,Avg_min_N_Disgust,Avg_min_N_Neutral,Avg_max_sum_Anger,Avg_max_sum_Fear,Avg_max_sum_Happiness,Avg_max_sum_Sadness,Avg_max_sum_Disgust,Avg_min_sum_Anger,Avg_min_sum_Fear,Avg_min_sum_Happiness,Avg_min_sum_Sadness,Avg_min_sum_Disgust
Afro Kolektyw,80,40,13541,1.34026909309382,0.955247027545972,0.201388376043128,0.00428328779262979,0.0143014301430143,0.0234690135680235,0.0920425375870921,0.0223689035570224,0.0121012101210121,0.0388705537220389,0.0099009900990099,0.022002200220022,0.0542720938760543,0.0216354968830216,0.011001100110011,0.0319031903190319,2.05092383069307,2.30920907099377,3.66726534976164,2.13031258782545,1.72244863006967,1.46575593502017,1.67989521459479,2.56751472387239,1.51974918111478,1.23779818995233
Afront,32,8,2833,1.89163022067906,0.972114366396047,0.178256265442993,0.00529474055771267,0.00396039603960396,0.0257425742574257,0.095049504950495,0.00594059405940594,0.00198019801980198,0.0455445544554455,0.00198019801980198,0.0257425742574257,0.0376237623762376,0.00594059405940594,0.00198019801980198,0.0376237623762376,1.99358550514851,2.37653097940594,3.79184086455446,2.05805196059406,1.63476065544554,1.42953935663366,1.76493751247525,2.7089602570297,1.48651942257426,1.19204535485149
Bedoes,90,50,21168,2.0539734702856,0.898998488284203,0.202428193499622,0.0158730158730159,0.00910151691948658,0.0182030338389732,0.106651108518086,0.0179696616102684,0.00676779463243874,0.0380396732788798,0.0044340723453909,0.0161026837806301,0.0539089848308051,0.0168028004667445,0.00676779463243874,0.0298716452742124,2.13735831075846,2.35843099472579,3.74252264480747,2.20071657694282,1.78024496308051,1.51316638469078,1.69299767668611,2.59057221754959,1.53291462991832,1.26959028583431
Białas,233,136,56155,1.97269228989791,0.936158846051109,0.187071498530852,0.0141216276377883,0.0179914326511185,0.0146596858638743,0.0839600190385531,0.0166587339362208,0.004569252736792,0.030271299381247,0.00961446930033317,0.0140885292717753,0.0408376963350785,0.0158971918134222,0.004569252736792,0.0225606853879105,2.17271766435983,2.40183450910995,3.71095893145169,2.21021917832461,1.77276014245597,1.52875509292718,1.72227687985721,2.57549154407425,1.53769863532604,1.24474750069491
Borixon,165,60,20530,1.83308219601283,0.934388699464199,0.195129079396006,0.0142717973697029,0.0122316525212182,0.0264603095356965,0.102845731402896,0.0274588117823265,0.00499251123315028,0.0384423364952571,0.00524213679480779,0.0257114328507239,0.0481777333999002,0.0264603095356965,0.00499251123315028,0.0312031952071892,2.10817815579131,2.36037220087369,3.71105221445332,2.17335356954568,1.75684620252122,1.45511074555667,1.67855660659011,2.52198857508737,1.49116566682476,1.21899698856715
Donguralesko,389,54,22901,1.84606683614809,0.936640321383346,0.193004672285053,0.0120518754639535,0.0108597285067873,0.0285067873303167,0.0821266968325792,0.0113122171945701,0.0115384615384615,0.0400452488687783,0.00678733031674208,0.0280542986425339,0.0425339366515837,0.00995475113122172,0.0115384615384615,0.034841628959276,2.05462384950226,2.33442772377828,3.59174582660634,2.05835504676471,1.75245464285068,1.46603887504525,1.68263807323529,2.5009306331448,1.44752561285068,1.26211256615385
Dwa Sławy,103,53,19407,1.76683512006094,0.931107332405833,0.192610913587881,0.0152522285773175,0.0264847512038523,0.0222043873729267,0.0743713215623328,0.0115034777956126,0.00615302300695559,0.0513643659711075,0.0189941144997325,0.0208667736757624,0.0425361155698234,0.0104333868378812,0.00615302300695559,0.041466024612092,2.11794830377207,2.31942808400214,3.5959881005618,2.09869053253077,1.73570980698234,1.54004240620653,1.69911373491172,2.57266788812199,1.51080169258962,1.2562659906367
Eldo,202,77,28331,1.75228283531003,0.961385055239843,0.234478133493347,0.0023296036144153,0.0177630588589493,0.021375884389583,0.0960409453560139,0.0106879421947915,0.00316122233930453,0.036429324100557,0.0124943549601084,0.0192684028300467,0.0559987957248231,0.0100858046063526,0.00316122233930453,0.0296552762306187,2.0443309278037,2.36928716731898,3.84089793615836,2.14058377808219,1.66781742661448,1.45749477550805,1.71999618012946,2.65950451296101,1.51328775267199,1.18851858186061
Ero,59,23,9771,2.18116992499061,0.940128953024255,0.196295159144407,0.00839218094360864,0.029718456725756,0.0260688216892596,0.119395203336809,0.00938477580813347,0.00677789363920751,0.0312825860271116,0.0166840458811262,0.0255474452554745,0.0464025026068822,0.00938477580813347,0.00417101147028154,0.0265901981230448,2.04671703368092,2.28862752158498,3.80088398800834,2.05722329577685,1.66703022502607,1.39446322987487,1.595338718561,2.4985573149635,1.37733059968717,1.13410997612096
Fisz Emade Tworzywo,83,28,7217,0.899695372646169,0.954828876264376,0.260080365802965,0.00138561729250381,0.011720831113479,0.0463505594033031,0.102290889717635,0.0111880660628663,0,0.0410229088971763,0.00905700586041556,0.0436867341502397,0.0607352157698455,0.0111880660628663,0,0.0287693127330847,2.02780206329249,2.4118247337773,3.70334361347896,2.12324820079915,1.70274859563133,1.52535832333511,1.85330558071391,2.74343683095365,1.60012376968567,1.26886610245072
